repo_owner,repo_name,issue_number,pr_url,commit_url
apache,mxnet,15123,https://github.com/apache/mxnet/pull/16219,https://github.com/apache/mxnet/commit/3550422b187bbf58097460d04de917cd8de86e76
apache,mxnet,14124,https://github.com/apache/mxnet/pull/14445,https://github.com/apache/mxnet/commit/8339f095c3a8af8354c49b1dac02a3e3c3cdecb3
apache,mxnet,13449,https://github.com/apache/mxnet/pull/13501,https://github.com/apache/mxnet/commit/9ac7cbd0c36fc6ff47234de0417d3e3dca9b09dd
apache,mxnet,11469,https://github.com/apache/mxnet/pull/11474,https://github.com/apache/mxnet/commit/78560db932d2b508a76f3fb5f1b2103cdd5de75b
sqlitebrowser,sqlitebrowser,584,https://github.com/sqlitebrowser/sqlitebrowser/pull/1672,https://github.com/sqlitebrowser/sqlitebrowser/commit/dee40576e612f3548019e74946d62069c7096ac8
facebook,hhvm,8156,https://github.com/facebook/hhvm/pull/8313,https://github.com/facebook/hhvm/commit/9ed531ed55f4947ace09ad8efb1af30f7cf932e1
facebook,hhvm,7133,https://github.com/facebook/hhvm/pull/7246,https://github.com/facebook/hhvm/commit/1b4301ed96766905af57a758aafc969fe802383a
facebook,hhvm,1567,https://github.com/facebook/hhvm/pull/1569,https://github.com/facebook/hhvm/commit/9505beac5353df3f15235e7cc98eff98a9b4b64c
google,filament,7748,https://github.com/google/filament/pull/7752,https://github.com/google/filament/commit/c933e4abc2b2ffa0b99c4ece11fb933682239ba7
microsoft,AirSim,3288,https://github.com/microsoft/AirSim/pull/4032,https://github.com/microsoft/AirSim/commit/e0c47e4b2ca69e074f64000d81712b47a44d62a5
rizinorg,cutter,2634,https://github.com/rizinorg/cutter/pull/2636,https://github.com/rizinorg/cutter/commit/ffc8b6e1868a24b736383cf54b189f5c1f2fddeb
Tencent,rapidjson,275,https://github.com/Tencent/rapidjson/pull/544,https://github.com/Tencent/rapidjson/commit/6a6d9c7e05d2c312b0a9058ee143f168719d93af
arangodb,arangodb,3291,https://github.com/arangodb/arangodb/pull/3505,https://github.com/arangodb/arangodb/commit/316a7496f0223f882898b268fc0f7d0fa1becb58
OpenRCT2,OpenRCT2,9603,https://github.com/OpenRCT2/OpenRCT2/pull/9907,https://github.com/OpenRCT2/OpenRCT2/commit/e03aa526c76d950552badca64b2245e01e308553
OpenRCT2,OpenRCT2,8340,https://github.com/OpenRCT2/OpenRCT2/pull/8360,https://github.com/OpenRCT2/OpenRCT2/commit/3393f6428b16f4fb4f1015fb282dad480d3ef57e
OpenRCT2,OpenRCT2,6242,https://github.com/OpenRCT2/OpenRCT2/pull/6918,https://github.com/OpenRCT2/OpenRCT2/commit/ca2b4a9c0655bf18083c8e004ae89e66a0b2f2c0
doitsujin,dxvk,3632,https://github.com/doitsujin/dxvk/pull/3915,https://github.com/doitsujin/dxvk/commit/f00ecd9f698d27f998e065379f3fcf3f73de8146
doitsujin,dxvk,3438,https://github.com/doitsujin/dxvk/pull/3439,https://github.com/doitsujin/dxvk/commit/f861003dbb22f0f118fe1f6fedd19f21e3053a5a
doitsujin,dxvk,3283,https://github.com/doitsujin/dxvk/pull/3284,https://github.com/doitsujin/dxvk/commit/d8dddffd4861f09cea3f161c9c0acb6f73864e46
doitsujin,dxvk,2473,https://github.com/doitsujin/dxvk/pull/3158,https://github.com/doitsujin/dxvk/commit/b7cdfe072ef1fcac92d5d854127a4aa3b0590101
musescore,MuseScore,20003,https://github.com/musescore/MuseScore/pull/20141,https://github.com/musescore/MuseScore/commit/0691f8524f3d9fe89724830482651c7fd496ae26
musescore,MuseScore,19213,https://github.com/musescore/MuseScore/pull/19305,https://github.com/musescore/MuseScore/commit/a43ad026c0a394defa2969cd28591e13da918fa1
musescore,MuseScore,13193,https://github.com/musescore/MuseScore/pull/19146,https://github.com/musescore/MuseScore/commit/636ca456d9ececec4413dc605721275399eae498
hrydgard,ppsspp,16113,https://github.com/hrydgard/ppsspp/pull/16114,https://github.com/hrydgard/ppsspp/commit/4e31a469f02277e4e3b88dd1fa2a7e2f3305f649
hrydgard,ppsspp,9324,https://github.com/hrydgard/ppsspp/pull/16971,https://github.com/hrydgard/ppsspp/commit/adda49d05d1091decb8832259f0ca4e9e085f143
minetest,minetest,13990,https://github.com/minetest/minetest/pull/14121,https://github.com/minetest/minetest/commit/4f413847ddff0d2f247b0c98d8a9eddb05eae7da
minetest,minetest,13236,https://github.com/minetest/minetest/pull/13237,https://github.com/minetest/minetest/commit/8685586704ff7451565a35a7203caf107e56c76e
minetest,minetest,12437,https://github.com/minetest/minetest/pull/12438,https://github.com/minetest/minetest/commit/0589c4225f15c8de1709a2df7de44d96575a8f59
minetest,minetest,12300,https://github.com/minetest/minetest/pull/12301,https://github.com/minetest/minetest/commit/d44142955e9e05d471d0e4c6792afc4dfb463a5f
minetest,minetest,10696,https://github.com/minetest/minetest/pull/10715,https://github.com/minetest/minetest/commit/b9b82c6f03ef683f287443e28a67a9b7b7ff117b
minetest,minetest,10488,https://github.com/minetest/minetest/pull/10489,https://github.com/minetest/minetest/commit/3220fa178cdf8b434ae9a3970ad0e3e16ea23a13
minetest,minetest,8207,https://github.com/minetest/minetest/pull/9114,https://github.com/minetest/minetest/commit/9a8aa25a50cc6332135cb6f53b9ca26c4f611d44
